system:index,ERA5_Days,Temperature_C,Temperature_Valid,Week_End,Week_Number,Week_Start,Year,dataset,district,latitude,longitude,point_id,region_type,sampling_priority,study_area,temperature_source,.geo
0_00000000000000000092,7,22.24064434596471,1,2022-07-09,27.0,2022-07-02,2022,ERA5-Land Temperature,Satara,17.927231643141155,73.94769852026607,P147,case_study,case_study,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003c,7,24.598659133911156,1,2022-07-09,27.0,2022-07-02,2022,ERA5-Land Temperature,Latur,18.507855650411397,76.91766048140843,P061,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003d,7,24.12157347542899,1,2022-07-09,27.0,2022-07-02,2022,ERA5-Land Temperature,Latur,18.422405896924207,76.3487594508077,P062,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003e,7,24.12567736307784,1,2022-07-09,27.0,2022-07-02,2022,ERA5-Land Temperature,Latur,18.235391198742693,77.05646783810116,P063,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003f,7,23.979344122750433,1,2022-07-09,27.0,2022-07-02,2022,ERA5-Land Temperature,Latur,18.193056493341274,76.77240080549139,P064,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000040,7,24.022150112333804,1,2022-07-09,27.0,2022-07-02,2022,ERA5-Land Temperature,Latur,18.331355512513895,76.44266811899327,P065,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000041,7,23.859378069923082,1,2022-07-09,27.0,2022-07-02,2022,ERA5-Land Temperature,Latur,18.104739537876725,76.5352970251765,P066,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000042,7,24.12567736307784,1,2022-07-09,27.0,2022-07-02,2022,ERA5-Land Temperature,Latur,18.280552974211986,77.0569984711265,P067,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000043,7,24.057724889119527,1,2022-07-09,27.0,2022-07-02,2022,ERA5-Land Temperature,Latur,18.101823285787773,76.86595720469373,P068,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000044,7,25.07230357215525,1,2022-07-09,27.0,2022-07-02,2022,ERA5-Land Temperature,Latur,18.595075667016793,77.20284228928156,P069,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000045,7,24.824861235845674,1,2022-07-09,27.0,2022-07-02,2022,ERA5-Land Temperature,Latur,18.41499041187233,77.15322587185987,P070,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000046,7,23.889523624238564,1,2022-07-09,27.0,2022-07-02,2022,ERA5-Land Temperature,Latur,18.149138807065885,76.63019561379593,P071,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
