system:index,GSMaP_Image_Count,Rainfall_GSMaP,Week_End,Week_Number,Week_Start,Year,point_id,.geo
0_00000000000000000092,168,0.0,2024-01-08,1.0,2024-01-01,2024,P147,"{""type"":""Point"",""coordinates"":[73.94769852026607,17.927231643141155]}"
0_0000000000000000003c,168,0.0,2024-01-08,1.0,2024-01-01,2024,P061,"{""type"":""Point"",""coordinates"":[76.91766048140843,18.507855650411397]}"
0_0000000000000000003d,168,0.0,2024-01-08,1.0,2024-01-01,2024,P062,"{""type"":""Point"",""coordinates"":[76.3487594508077,18.422405896924207]}"
0_0000000000000000003e,168,0.0,2024-01-08,1.0,2024-01-01,2024,P063,"{""type"":""Point"",""coordinates"":[77.05646783810116,18.235391198742693]}"
0_0000000000000000003f,168,0.0,2024-01-08,1.0,2024-01-01,2024,P064,"{""type"":""Point"",""coordinates"":[76.77240080549139,18.193056493341274]}"
0_00000000000000000040,168,0.0,2024-01-08,1.0,2024-01-01,2024,P065,"{""type"":""Point"",""coordinates"":[76.44266811899327,18.331355512513895]}"
0_00000000000000000041,168,0.0,2024-01-08,1.0,2024-01-01,2024,P066,"{""type"":""Point"",""coordinates"":[76.5352970251765,18.104739537876725]}"
0_00000000000000000042,168,0.0,2024-01-08,1.0,2024-01-01,2024,P067,"{""type"":""Point"",""coordinates"":[77.0569984711265,18.280552974211986]}"
0_00000000000000000043,168,0.0,2024-01-08,1.0,2024-01-01,2024,P068,"{""type"":""Point"",""coordinates"":[76.86595720469373,18.101823285787773]}"
0_00000000000000000044,168,0.0,2024-01-08,1.0,2024-01-01,2024,P069,"{""type"":""Point"",""coordinates"":[77.20284228928156,18.595075667016793]}"
0_00000000000000000045,168,0.0,2024-01-08,1.0,2024-01-01,2024,P070,"{""type"":""Point"",""coordinates"":[77.15322587185987,18.41499041187233]}"
0_00000000000000000046,168,0.0,2024-01-08,1.0,2024-01-01,2024,P071,"{""type"":""Point"",""coordinates"":[76.63019561379593,18.149138807065885]}"
0_00000000000000000047,168,0.0,2024-01-08,1.0,2024-01-01,2024,P072,"{""type"":""Point"",""coordinates"":[76.77331492120734,18.283393421583035]}"
0_00000000000000000048,168,0.0,2024-01-08,1.0,2024-01-01,2024,P073,"{""type"":""Point"",""coordinates"":[76.86453029235662,17.966315663874607]}"
0_00000000000000000049,168,0.0,2024-01-08,1.0,2024-01-01,2024,P074,"{""type"":""Point"",""coordinates"":[76.870318205524,18.50832831512306]}"
0_0000000000000000004a,168,0.0,2024-01-08,1.0,2024-01-01,2024,P075,"{""type"":""Point"",""coordinates"":[77.20053247493588,18.41444640154381]}"
